 
****************************************
Report : area
Design : ViT_top
Version: R-2020.09-SP5
Date   : Tue Nov 25 01:27:31 2025
****************************************

Library(s) Used:

    slow_vdd1v2 (File: /usr/cadtool/GPDK45/gsclib045_svt_v4.4/gsclib045/db/slow_vdd1v2_basicCells_wl.db)

Number of ports:                         4737
Number of nets:                        145544
Number of cells:                       139457
Number of combinational cells:         128837
Number of sequential cells:             10488
Number of macros/black boxes:               0
Number of buf/inv:                      27218
Number of references:                     243

Combinational area:             191764.192278
Buf/Inv area:                    19138.662427
Noncombinational area:           64928.359448
Macro/Black Box area:                0.000000
Net Interconnect area:               0.000000

Total cell area:                256692.551726
Total area:                     256692.551726

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
clk_gate_c_bank_dat_reg_reg_0_         6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_18
clk_gate_c_bank_dat_reg_reg_1_         6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_17
clk_gate_c_bank_dat_reg_reg_2_         6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_16
clk_gate_c_bank_dat_reg_reg_3_         6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_15
clk_gate_c_bank_dat_reg_reg_4_         6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_14
clk_gate_c_bank_dat_reg_reg_5_         6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_13
clk_gate_c_bank_dat_reg_reg_6_         6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_12
clk_gate_c_bank_dat_reg_reg_7_         6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_11
clk_gate_cnt8_reg                      6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_99
clk_gate_exp_sum_reg_reg               6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_8
clk_gate_exp_sum_reg_reg_0             6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_7
clk_gate_exp_sum_reg_reg_1             6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_6
clk_gate_exp_sum_reg_reg_2             6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_5
clk_gate_sram_addr_cnt_a_reg           6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_98
clk_gate_sram_c_ch_cnt_reg             6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_21
clk_gate_sram_waddr_cnt_d_reg          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_10
clk_gate_sramb_addr_vproj_cnt_reg      6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_3
clk_gate_sramb_waddr_softmax_reg       6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_4
clk_gate_sramc_k_addr_cnt_reg          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_19
clk_gate_sramc_q_addr_cnt_reg          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_20
clk_gate_sramd_raddr_cnt_reg           6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_9
clk_gate_tmp_cnt_reg                   6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_0
clk_gate_token_mean_reg                6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_33
clk_gate_token_mean_reg_0              6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_32
clk_gate_vproj_sramd_waddr_reg         6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_1
clk_gate_vproj_wcnt_reg                6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_2
clk_gate_weight_addr_cnt_reg           6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_30
div0                               16579.8184      6.5   12634.8483   3944.9701  0.0000  div_mydesign_7
div1                               16566.8224      6.5   12622.1943   3944.6281  0.0000  div_mydesign_6
div2                               16579.1344      6.5   12634.5063   3944.6281  0.0000  div_mydesign_5
div3                               16588.3684      6.5   12643.7403   3944.6281  0.0000  div_mydesign_4
div4                               16586.6584      6.5   12642.0303   3944.6281  0.0000  div_mydesign_3
div5                               16564.4284      6.5   12619.8003   3944.6281  0.0000  div_mydesign_2
div6                               16566.4804      6.5   12621.8523   3944.6281  0.0000  div_mydesign_1
div7                               16560.3244      6.5   12615.3543   3944.9701  0.0000  div_mydesign_0
--------------------------------  -----------  -------  -----------  ----------  ------  -----------------------------------------
Total                                                   191764.1923  64928.3594  0.0000

1
