 
****************************************
Report : resources
Design : ViT_top
Version: R-2020.09-SP5
Date   : Thu Nov 20 18:19:08 2025
****************************************


Resource Report for this hierarchy in file ../hdl/ViT_top.v
=============================================================================
| Cell           | Module         | Parameters | Contained Operations       |
| O1    | PO   | Unsigned | 18    | I1 + I2 + I3 + I4 + I5 + I6 + I7 + I8 + I9 + I10 + I11 + I12 + I13 + I14 + I15 + I16 (ViT_top.v:712) |
| O2    | PO   | Signed   | 18    | -O1 + $unsigned(18'b000000000000000000) (ViT_top.v:831) |
==============================================================================

Datapath Report for DP_OP_1066J1_124_5797
==============================================================================
| Cell                 | Contained Operations                                |
==============================================================================
| DP_OP_1066J1_124_5797 | mult_1317 (ViT_top.v:1317)                         |
|                      | add_1328 (ViT_top.v:1328)                           |
|                      | add_1328_2 (ViT_top.v:1328)                         |
|                      | add_1328_3 (ViT_top.v:1328)                         |
|                      | add_1328_4 (ViT_top.v:1328)                         |
|                      | add_1328_5 (ViT_top.v:1328)                         |
|                      | add_1328_6 (ViT_top.v:1328)                         |
|                      | add_1328_7 (ViT_top.v:1328)                         |
|                      | mult_1317_I2 (ViT_top.v:1317)                       |
|                      | mult_1317_I3 (ViT_top.v:1317)                       |
|                      | mult_1317_I4 (ViT_top.v:1317)                       |
|                      | mult_1317_I5 (ViT_top.v:1317)                       |
|                      | mult_1317_I6 (ViT_top.v:1317)                       |
|                      | mult_1317_I7 (ViT_top.v:1317)                       |
|                      | mult_1317_I8 (ViT_top.v:1317)                       |
|                      | add_1374 (ViT_top.v:1374)                           |
==============================================================================

==============================================================================
|       |      | Data     |       |                                          |
| Var   | Type | Class    | Width | Expression                               |
==============================================================================
| I1    | PI   | Signed   | 10    |                                          |
| I2    | PI   | Signed   | 10    |                                          |
| I3    | PI   | Signed   | 10    |                                          |
| I4    | PI   | Signed   | 10    |                                          |
| I5    | PI   | Signed   | 10    |                                          |
| I6    | PI   | Signed   | 10    |                                          |
| I7    | PI   | Signed   | 10    |                                          |
| I8    | PI   | Signed   | 10    |                                          |
| I9    | PI   | Signed   | 10    |                                          |
| I10   | PI   | Signed   | 10    |                                          |
| I11   | PI   | Signed   | 10    |                                          |
| I12   | PI   | Signed   | 10    |                                          |
| I13   | PI   | Signed   | 10    |                                          |
| I14   | PI   | Signed   | 10    |                                          |
| I15   | PI   | Signed   | 10    |                                          |
| I16   | PI   | Signed   | 10    |                                          |
| I17   | PI   | Signed   | 20    |                                          |
| T311  | IFO  | Signed   | 20    | I1 * I2 (ViT_top.v:1317)                 |
| T315  | IFO  | Signed   | 20    | I3 * I4 (ViT_top.v:1317)                 |
| T319  | IFO  | Signed   | 20    | I5 * I6 (ViT_top.v:1317)                 |
| T323  | IFO  | Signed   | 20    | I7 * I8 (ViT_top.v:1317)                 |
| T327  | IFO  | Signed   | 20    | I9 * I10 (ViT_top.v:1317)                |
| T331  | IFO  | Signed   | 20    | I11 * I12 (ViT_top.v:1317)               |
| T335  | IFO  | Signed   | 20    | I13 * I14 (ViT_top.v:1317)               |
| T339  | IFO  | Signed   | 20    | I15 * I16 (ViT_top.v:1317)               |
| O1    | PO   | Unsigned | 20    | T311 + T315 + T319 + T323 + T327 + T331 + T335 + T339 (ViT_top.v:1328) |
